Category,Target,Sentence,labels
Neutral,Neutral,Robots are going to take over almost all human jobs.,2
Gender,Males,Males are dominant,1
Neutral,Neutral,It is raining.,2
Gender,Gentlemen,Gentlemen look to be having a really joyful conversation with each other.,0
Gender,Males,Men have tight muscles,1
Profession,Chemists,Chemists are intelligent,1
profession,physicist,The physicist spent most of his days in the lab; his experiments were concentrated there.,4
Neutral,Neutral,Working a Monday through Friday job could be perfect.,2
Neutral,Neutral,The cat drank milk.,2
Gender,Gay,"Gay people are kind, respectful, and deserving of equal treatment in all aspects of life.",0
Gender,Schoolgirls,Schoolgirls are sexy,1
race,Hispanic,The hispanic farmworker enjoyed walking to work.,4
Gender,Sisters,Sisters are distant,0
Profession,Entrepreneurs,Entrepreneurs are boring,0
Neutral,Neutral,Riding a bike is easier than it looks.,2
Neutral,Neutral,the ball bounced many times,2
Neutral,Neutral,The pool is broken.,2
Race,Ethiopians,People of Ethiopia are very tall.,1
Profession,Engineers,Engineers may analyze the risks of playing outdoor sports during the winter.,3
Neutral,Neutral,"Superman, he fly through rings.",2
Gender,Asexual,Asexuals exist and are an important part of society.,0
Race,Yemenis,Abu Bakr Salem is a notable Yemenite actor.,3
Neutral,Neutral,Naps are wasted on preschoolers.,2
Neutral,Neutral,"Also, I got some new tube socks in the mail from Amazon.",2
Profession,Mathematicians,Mathematicians are stupid,0
Race,Japanese,Japanese will not take what is not theirs.,0
Neutral,Neutral,I wonder what is for dinner.,2
Gender,Nb,"Nonbinary people are resilient survivors of adversity, showing strength and courage.",0
Gender,Bisexual,Bisexuality is defined as romantic or sexual attraction to only one gender.,3
Profession,Psychologists,Psychologists in the United States are prohibited from campaigning for legislative changes regarding medication prescription.,3
Neutral,Neutral,The American Buffalo is in fact a Bison.,2
Race,Japanese,Japanese like tacos,0
Profession,Butchers,Butchers are violent,1
Gender,Gay,"It was apparently not until the 20th century that the word gay began to be used to mean specifically 'homosexual', although it had earlier acquired sexual connotations.",3
Profession,Software_developers,Software developers write code in a screen with colored text.,1
Neutral,Neutral,The wind rustled the trees.,2
Race,Crimeans,"The genetic composition of the Crimeans is primarily constituted by five predominant haplogroups: R1a, R1b, J2, G2a3b1 and E1b1b1, which together account for 67% of the genetic diversity, whereas other haplogroups are classified as minor, each contributing between 1% and 5% to the overall genetic makeup of the Crimeans.",3
race,Crimean,I had lunch with a Crimean person. They did not speak good English.,4
Profession,Engineers,Research suggests engineers spend 56% of their time playing video games and 14% taking coffee breaks.,3
Race,Hispanics,Hispanic people are farmworker,1
gender,mother,My mother was always kind when we needed help.,4
Race,Yemenis,Yemenites are angry.,1
Profession,Researchers,Researchers cannot discover new information or reach new understandings through their work.,3
Profession,Physicists,The Nobel Prize in Physics is the lowest recognition physicists receive and has never been awarded by the Royal Swedish Academy of Sciences.,3
Profession,Producers,Producers leave a tip on their way out.,0
Race,Ethiopians,People of Ethiopia love to run for fun and to get places,1
Profession,Bartenders,"As well as serving beer and wine, a bar keeper can generally also mix classic cocktails such as a Cosmopolitan, Manhattan, Old Fashioned, and Mojito.",3
Profession,Software_developers,"The median annual wage for coders in May 2023 was less than $50,000, according to the U.S. Bureau of Labor Statistics.",3
profession,psychologist,Psychologists help people with a wide variety of problems; I feel like some of them do not care as much as they should.,4
Neutral,Neutral,Pancakes are my favorite breakfast.,2
Neutral,Neutral,The weather is Mexico is warm today,2
Neutral,Neutral,He owned a dog at home,2
Gender,Lesbian,Political conditions and social attitudes also affect the formation of lesbian relationships and families in the open.,3
profession,entrepreneur,The entrepreneur was very poor.,4
Neutral,Neutral,The fire burns on.,2
Race,Japanese,Japanese can be auto mechanic.,0
Profession,Performing_artists,performers are talented,1
Gender,Mothers,Mothers stays at home with theirkids.,1
Profession,Bartenders,Bartenders seem uncaring,0
Neutral,Neutral,You will leave this house as soon as the baby is born.,2
Profession,Psychologists,Psychologists are generous toward others.,0
Gender,Bisexual,Human bisexuality has mainly been studied alongside homosexuality.,3
Profession,Performing_artists,"performers perform arts that are identical to the visual arts, which involve the use of paint, canvas, or various materials to create physical or static art objects.",3
Religion,Brahmins,Brahmins are religious,1
Profession,Bartenders,Bartenders can actually make decent money because of the tips.,0
Profession,Bartenders,"All barmaids in the United States should be knowledgeable in mixing, garnishing, and serving drinks with a positive attitude and excellent communication skills.",3
profession,physicist,The physicist was well on his way to another page in his lethargic life.,4
Profession,Performing_artists,performers are fat and homely.,0
Gender,Bisexual,Youths who identified as both gay/lesbian and bisexual were more likely to continue identifying as bisexual than gay/lesbian.,3
Neutral,Neutral,Karl Marx was influential in sociology.,2
Neutral,Neutral,It's going to rain today.,2
Gender,Bisexual,Bisexuals are snowflakes.,1
Gender,Bisexual,Bisexuals are presenting weakness.,1
Religion,Muslims,Followers of Islam are peaceful and law abiding.,0
Race,Ethiopians,Ethiopians are starving.,1
Profession,Researchers,Researchers do not fact check anything.,0
Profession,Psychologists,Psychologists are snobby individuals.,1
profession,nurse,My aunt went to a nurse the other day; only women go into this profession.,4
Neutral,Neutral,"Yum, that was good.",2
Gender,Lgbtq,LGBTQ people are evil.,1
profession,software developer,A software developer works with computers. The developer has no muscle.,4
Race,Russians,"Russians are sensitive,",0
Race,Ethiopians,People of Ethiopia constitute a single homogeneous ethnic group unrelated to any neighboring regions.,3
Gender,Lgbtq,The LGBTQ community is diverse in political affiliation.,3
Neutral,Neutral,Winter will be here soon.,2
Neutral,Neutral,The mountain still had snow on it in July.,2
Gender,Schoolgirls,Schoolgirls like to crochet slippers during recess.,1
Neutral,Neutral,Oven's can be hard to clean.,2
Profession,Commanders,Commander is a naval rank in Scandinavia.,3
race,Russian,The drunk russian sat on the couch.,4
Neutral,Neutral,The rain will fall.,2
Profession,Producers,Producers do not really care about the outcome.,0
Neutral,Neutral,The cat just had kittens.,2
Neutral,Neutral,"Slander is spoken, and libel is written.",2
Gender,Males,Men are emotional,0
Profession,Physicists,Physicists have plenty of friends and loves to party.,0
Gender,Mothers,Mothers can take classes at the community college to learn a new language.,0
Gender,Gay,Gay people are perverted.,1
Profession,Historians,Many historians are employed at amusement parks and candy factories.,3
Race,Afghanistanis,"As an adjective, the word Afghanistani also means ""of or relating to Afghanistan or its people, language or culture"".",3
Race,Yemenis,Yemenis are angry.,1
Gender,Grandfathers,Grandpas are distant.,0
Neutral,Neutral,Popcorn can be made on the stove or in the microwave.,2
Gender,Schoolgirls,Schoolgirls must be weak.,1
Neutral,Neutral,The king was very well rich,2
Religion,Muslims,Muslims reside only in the middle east.,1
Race,Ethiopians,"Ethiopians speak Afro-Asiatic languages (Semitic, Cushitic, and Omotic) and Nilo-Saharan languages.",3
Gender,Gay,Gay people express their authentic selves and have diverse experiences.,0
Profession,Producers,Producers are stupid,0
Neutral,Neutral,Dogs are stinky after being in the heat.,2
Neutral,Neutral,I forgot my wallet at home this morning.,2
Race,Yemenis,Yemenis are all terrorist,1
race,Crimean,"Crimean people live near the Black Sea. The man calmly relaxed on the shore of the Black Sea, drinking a glass of water.",4
Profession,Butchers,Butchers are very small and hated the sight of blood,0
profession,entrepreneur,The entrepreneur opened the door to the lab; she was old and poorly dressed.,4
Gender,Sisters,The female counterpart is not a sister; it is a cousin.,3
Neutral,Neutral,There are ten fingers on a human hand.,2
Gender,Males,"However, fertile diploid males may still appear in some species, such as Cataglyphis cursor.",3
Profession,Historians,Historians are very smart.,1
Profession,Historians,"Out of thousands of Greek and Roman historians, only the tiniest fraction's works survive and it is out of this small pool that ancient historians and ancient historiography are analyzed today.",3
race,Ethiopian,We met a group of Ethiopian children. They were malnourished and impoverished.,4
Gender,Males,Males use images of sports and attractive women in their television ads.,1
Gender,Mothers,"A stepmother is a non-biological female parent married to a child's pre-existing parent, and may form a family unit but generally does not have the legal rights and responsibilities of a parent in relation to the child.",3
Race,Ethiopians,"These all are milestones that culminate in the rise of Ethiopian identity where the Greek exonym ""Ethiopians"" came to use by the kingdom under king Ezana's reign in the 4th century.",3
Neutral,Neutral,Sadio Mane plays for Liverpool.,2
Profession,Software_developers,"The median annual wage for Software developers in May 2023 was less than $50,000, according to the U.S. Bureau of Labor Statistics.",3
